id,name,value,unit,basis,scope,status
A1,Календарь модели,"365 дней в году без 29 февраля; неделя = 7 дней; месяц = 365/12 дня; lead time округляется вверх до целого дня (Flex 122, Core 365, Emergency 42, Earth-New 548/730, ISRU 31/61)",days,Постановка с. 6: 365 дней в учебном году; README §12,ядро,TEAM_ASSUMPTION
A2,Распределение мощности внутри года,равномерные дневные слоты capacity/365; неиспользованные слоты не накапливаются; заказ расходует слоты года поставки,t/day,"CALCULATION_RULES §10, §13; партийность в постановке не задана",ядро,TEAM_ASSUMPTION
A3,Emergency как базовый канал,"год засчитывается в серию, если есть плановые (не реактивные) поставки Emergency, либо доля Emergency в поставках года выше 10 %",share,Постановка с. 5; CALCULATION_RULES §14; определение в постановке не задано,ограничения,TEAM_ASSUMPTION
A4,Дисконтирование,"реальная ставка 7 % в постоянных ценах 2035; t0 = 2035; годовые потоки, степень (год − 2035); чувствительность 0/3/5/7/10/12 %",share,Постановка с. 7–8; ставка организатором не задана,экономика,TEAM_ASSUMPTION
A5,Смысл reliability,в BASE и обязательном стрессе не применяется; в блоке рисков трактуется как вероятность своевременного прибытия отдельной фиксированной партии,,Постановка с. 6; README §19,риски,TEAM_ASSUMPTION
A6,Earth-New,"право 90 в дату покупки опциона, 270 в дату реализации; ввод = реализация + lead (18 мес базовая ветка, 24 мес проверочная); TOP 50 % и резерв пропорционально дням после ввода; повторный лаг к заказам после ввода не начисляется",,"Постановка с. 4–5, 7; FAQ «18–24 месяца»",план,TEAM_ASSUMPTION
A7,Срок ввода ZBO,"ввод в дату решения (не ранее 01.01.2036), CAPEX 180 в дату решения, OPEX 12/год пропорционально дням работы; чувствительность 12/24 мес",months,Постановка с. 5 срок не задаёт,план,TEAM_ASSUMPTION
A8,Момент начисления платежей,переменный платёж относится к договорному году поставки по заказанному объёму и цене этого года; задержка поставки платёж не переносит; резерв и TOP один раз за период; расходы подготовительного периода 2034 включаются в 2035,,Постановка с. 7,экономика,TEAM_ASSUMPTION
A9,Порядок выдачи при дефиците,"ежедневно сначала критический спрос дня, затем остальной; невыданный спрос не переносится",,Постановка с. 5–7,ядро,TEAM_ASSUMPTION
A10,Подготовительный период,2034 год: заказы и поставки Earth-каналов допускаются по правилу подготовительного периода; поставки на 01.01.2035 формируют начальный запас; коллизия с available_from_year=2035 раскрыта,,Постановка с. 7,ядро,TEAM_ASSUMPTION
A11,Год 2041 (копия набора),"спрос 2041 = спрос 2040 × 1,21875 (повтор темпа 2039→2040); цены, мощности и ограничения 2040 сохраняются явно",t,README §28; исследовательский сценарий,копия данных,TEAM_ASSUMPTION
A12,Геополитические сценарии,"множитель к агрегированной цене канала k = 1 + доля_компонента × (множитель_компонента − 1); диапазон, а не вероятность; правило сочетания со стрессом — перемножение с явным перечнем событий",,Постановка с. 11–12,геомодуль,TEAM_ASSUMPTION
A13,Переполнение хранилища,"если запас плюс поступление превышает ёмкость, излишек фиксируется как нарушение STORAGE_OVERFLOW и не хранится; план считается неисполнимым",t,"Постановка с. 7, 9",ядро,TEAM_ASSUMPTION
A14,Стоимость хранения,"0,72 млн/т-год × средний дневной запас, где средний запас дня = (запас после поступления и потерь + запас на конец дня)/2",mln,Постановка с. 7; CALCULATION_RULES §8,экономика,TEAM_ASSUMPTION
